program,month,reducers,slow_start,time_sec
popular_routes,01,1,0.25,89
popular_routes,01,1,0.5,189
popular_routes,01,1,0.75,129
popular_routes,01,2,0.25,88
popular_routes,01,2,0.5,85
popular_routes,01,2,0.75,94
popular_routes,01,4,0.25,87
popular_routes,01,4,0.5,92
popular_routes,01,4,0.75,96
popular_routes,01,8,0.25,122
popular_routes,01,8,0.5,129
popular_routes,01,8,0.75,119
popular_routes,02,1,0.25,342
popular_routes,02,1,0.5,81
popular_routes,02,1,0.75,191
popular_routes,02,2,0.25,87
popular_routes,02,2,0.5,99
popular_routes,02,2,0.75,137
popular_routes,02,4,0.25,117
popular_routes,02,4,0.5,119
popular_routes,02,4,0.75,114
popular_routes,02,8,0.25,116
popular_routes,02,8,0.5,123
popular_routes,02,8,0.75,173
popular_routes,03,1,0.25,291
popular_routes,03,1,0.5,254
popular_routes,03,1,0.75,111
popular_routes,03,2,0.25,192
popular_routes,03,2,0.5,263
popular_routes,03,2,0.75,209
popular_routes,03,4,0.25,106
popular_routes,03,4,0.5,98
popular_routes,03,4,0.75,86
popular_routes,03,8,0.25,143
popular_routes,03,8,0.5,113
popular_routes,03,8,0.75,99
popular_routes,04,1,0.25,74
popular_routes,04,1,0.5,76
popular_routes,04,1,0.75,91
popular_routes,04,2,0.25,74
popular_routes,04,2,0.5,85
popular_routes,04,2,0.75,77
popular_routes,04,4,0.25,85
popular_routes,04,4,0.5,82
popular_routes,04,4,0.75,84
popular_routes,04,8,0.25,81
popular_routes,04,8,0.5,114
popular_routes,04,8,0.75,98
popular_routes,05,1,0.25,89
popular_routes,05,1,0.5,89
popular_routes,05,1,0.75,78
popular_routes,05,2,0.25,77
popular_routes,05,2,0.5,105
popular_routes,05,2,0.75,91
popular_routes,05,4,0.25,93
popular_routes,05,4,0.5,100
popular_routes,05,4,0.75,101
popular_routes,05,8,0.25,112
popular_routes,05,8,0.5,123
popular_routes,05,8,0.75,115
popular_routes,06,1,0.25,73
popular_routes,06,1,0.5,114
popular_routes,06,1,0.75,78
popular_routes,06,2,0.25,94
popular_routes,06,2,0.5,103
popular_routes,06,2,0.75,126
popular_routes,06,4,0.25,106
popular_routes,06,4,0.5,128
popular_routes,06,4,0.75,114
popular_routes,06,8,0.25,100
popular_routes,06,8,0.5,114
popular_routes,06,8,0.75,118
popular_routes,07,1,0.25,71
popular_routes,07,1,0.5,109
popular_routes,07,1,0.75,119
popular_routes,07,2,0.25,73
popular_routes,07,2,0.5,81
popular_routes,07,2,0.75,81
popular_routes,07,4,0.25,83
popular_routes,07,4,0.5,80
popular_routes,07,4,0.75,85
popular_routes,07,8,0.25,80
popular_routes,07,8,0.5,91
popular_routes,07,8,0.75,95
popular_routes,08,1,0.25,77
popular_routes,08,1,0.5,82
popular_routes,08,1,0.75,82
popular_routes,08,2,0.25,76
popular_routes,08,2,0.5,76
popular_routes,08,2,0.75,77
popular_routes,08,4,0.25,80
popular_routes,08,4,0.5,161
popular_routes,08,4,0.75,126
popular_routes,08,8,0.25,142
popular_routes,08,8,0.5,164
popular_routes,08,8,0.75,121
popular_routes,09,1,0.25,161
popular_routes,09,1,0.5,202
popular_routes,09,1,0.75,90
popular_routes,09,2,0.25,131
popular_routes,09,2,0.5,83
popular_routes,09,2,0.75,107
popular_routes,09,4,0.25,120
popular_routes,09,4,0.5,106
popular_routes,09,4,0.75,102
popular_routes,09,8,0.25,93
popular_routes,09,8,0.5,98
popular_routes,09,8,0.75,98
popular_routes,10,1,0.25,76
popular_routes,10,1,0.5,79
popular_routes,10,1,0.75,79
popular_routes,10,2,0.25,110
popular_routes,10,2,0.5,96
popular_routes,10,2,0.75,86
popular_routes,10,4,0.25,92
popular_routes,10,4,0.5,105
popular_routes,10,4,0.75,112
popular_routes,10,8,0.25,85
popular_routes,10,8,0.5,105
popular_routes,10,8,0.75,110
popular_routes,11,1,0.25,112
popular_routes,11,1,0.5,124
popular_routes,11,1,0.75,80
popular_routes,11,2,0.25,94
popular_routes,11,2,0.5,102
popular_routes,11,2,0.75,96
popular_routes,11,4,0.25,91
popular_routes,11,4,0.5,101
popular_routes,11,4,0.75,86
popular_routes,11,8,0.25,94
popular_routes,11,8,0.5,100
popular_routes,11,8,0.75,101
popular_routes,12,1,0.25,78
popular_routes,12,1,0.5,77
popular_routes,12,1,0.75,80
popular_routes,12,2,0.25,92
popular_routes,12,2,0.5,105
popular_routes,12,2,0.75,108
popular_routes,12,4,0.25,96
popular_routes,12,4,0.5,103
popular_routes,12,4,0.75,106
popular_routes,12,8,0.25,97
popular_routes,12,8,0.5,102
popular_routes,12,8,0.75,118
expensive_routes,01,1,0.25,78
expensive_routes,01,1,0.5,140
expensive_routes,01,1,0.75,137
expensive_routes,01,2,0.25,89
expensive_routes,01,2,0.5,96
expensive_routes,01,2,0.75,129
expensive_routes,01,4,0.25,99
expensive_routes,01,4,0.5,95
expensive_routes,01,4,0.75,110
expensive_routes,01,8,0.25,114
expensive_routes,01,8,0.5,113
expensive_routes,01,8,0.75,103
expensive_routes,02,1,0.25,96
expensive_routes,02,1,0.5,122
expensive_routes,02,1,0.75,75
expensive_routes,02,2,0.25,113
expensive_routes,02,2,0.5,99
expensive_routes,02,2,0.75,96
expensive_routes,02,4,0.25,97
expensive_routes,02,4,0.5,98
expensive_routes,02,4,0.75,99
expensive_routes,02,8,0.25,90
expensive_routes,02,8,0.5,105
expensive_routes,02,8,0.75,91
expensive_routes,03,1,0.25,77
expensive_routes,03,1,0.5,76
expensive_routes,03,1,0.75,93
expensive_routes,03,2,0.25,74
expensive_routes,03,2,0.5,81
expensive_routes,03,2,0.75,85
expensive_routes,03,4,0.25,81
expensive_routes,03,4,0.5,94
expensive_routes,03,4,0.75,85
expensive_routes,03,8,0.25,84
expensive_routes,03,8,0.5,99
expensive_routes,03,8,0.75,99
expensive_routes,04,1,0.25,75
expensive_routes,04,1,0.5,85
expensive_routes,04,1,0.75,89
expensive_routes,04,2,0.25,77
expensive_routes,04,2,0.5,84
expensive_routes,04,2,0.75,78
expensive_routes,04,4,0.25,92
expensive_routes,04,4,0.5,105
expensive_routes,04,4,0.75,136
expensive_routes,04,8,0.25,145
expensive_routes,04,8,0.5,146
expensive_routes,04,8,0.75,116
expensive_routes,05,1,0.25,83
expensive_routes,05,1,0.5,176
expensive_routes,05,1,0.75,87
expensive_routes,05,2,0.25,98
expensive_routes,05,2,0.5,103
expensive_routes,05,2,0.75,114
expensive_routes,05,4,0.25,96
expensive_routes,05,4,0.5,126
expensive_routes,05,4,0.75,111
expensive_routes,05,8,0.25,119
expensive_routes,05,8,0.5,130
expensive_routes,05,8,0.75,120
expensive_routes,06,1,0.25,79
expensive_routes,06,1,0.5,82
expensive_routes,06,1,0.75,84
expensive_routes,06,2,0.25,124
expensive_routes,06,2,0.5,102
expensive_routes,06,2,0.75,92
expensive_routes,06,4,0.25,121
expensive_routes,06,4,0.5,115
expensive_routes,06,4,0.75,124
expensive_routes,06,8,0.25,132
expensive_routes,06,8,0.5,160
expensive_routes,06,8,0.75,119
expensive_routes,07,1,0.25,78
expensive_routes,07,1,0.5,89
expensive_routes,07,1,0.75,91
expensive_routes,07,2,0.25,150
expensive_routes,07,2,0.5,88
expensive_routes,07,2,0.75,95
expensive_routes,07,4,0.25,144
expensive_routes,07,4,0.5,146
expensive_routes,07,4,0.75,140
expensive_routes,07,8,0.25,100
expensive_routes,07,8,0.5,107
expensive_routes,07,8,0.75,114
expensive_routes,08,1,0.25,79
expensive_routes,08,1,0.5,80
expensive_routes,08,1,0.75,155
expensive_routes,08,2,0.25,142
expensive_routes,08,2,0.5,99
expensive_routes,08,2,0.75,94
expensive_routes,08,4,0.25,105
expensive_routes,08,4,0.5,93
expensive_routes,08,4,0.75,114
expensive_routes,08,8,0.25,152
expensive_routes,08,8,0.5,101
expensive_routes,08,8,0.75,106
expensive_routes,09,1,0.25,70
expensive_routes,09,1,0.5,136
expensive_routes,09,1,0.75,76
expensive_routes,09,2,0.25,79
expensive_routes,09,2,0.5,83
expensive_routes,09,2,0.75,76
expensive_routes,09,4,0.25,84
expensive_routes,09,4,0.5,86
expensive_routes,09,4,0.75,80
expensive_routes,09,8,0.25,88
expensive_routes,09,8,0.5,95
expensive_routes,09,8,0.75,100
expensive_routes,10,1,0.25,92
expensive_routes,10,1,0.5,107
expensive_routes,10,1,0.75,114
expensive_routes,10,2,0.25,122
expensive_routes,10,2,0.5,89
expensive_routes,10,2,0.75,90
expensive_routes,10,4,0.25,88
expensive_routes,10,4,0.5,90
expensive_routes,10,4,0.75,92
expensive_routes,10,8,0.25,101
expensive_routes,10,8,0.5,125
expensive_routes,10,8,0.75,135
expensive_routes,11,1,0.25,158
expensive_routes,11,1,0.5,99
expensive_routes,11,1,0.75,138
expensive_routes,11,2,0.25,80
expensive_routes,11,2,0.5,79
expensive_routes,11,2,0.75,86
expensive_routes,11,4,0.25,84
expensive_routes,11,4,0.5,86
expensive_routes,11,4,0.75,90
expensive_routes,11,8,0.25,83
expensive_routes,11,8,0.5,99
expensive_routes,11,8,0.75,99
expensive_routes,12,1,0.25,77
expensive_routes,12,1,0.5,99
expensive_routes,12,1,0.75,90
expensive_routes,12,2,0.25,79
expensive_routes,12,2,0.5,84
expensive_routes,12,2,0.75,87
expensive_routes,12,4,0.25,85
expensive_routes,12,4,0.5,85
expensive_routes,12,4,0.75,96
expensive_routes,12,8,0.25,104
expensive_routes,12,8,0.5,106
expensive_routes,12,8,0.75,105
pickup_drop,01,1,0.25,89
pickup_drop,01,1,0.5,84
pickup_drop,01,1,0.75,86
pickup_drop,01,2,0.25,113
pickup_drop,01,2,0.5,80
pickup_drop,01,2,0.75,89
pickup_drop,01,4,0.25,81
pickup_drop,01,4,0.5,91
pickup_drop,01,4,0.75,81
pickup_drop,01,8,0.25,89
pickup_drop,01,8,0.5,96
pickup_drop,01,8,0.75,101
pickup_drop,02,1,0.25,73
pickup_drop,02,1,0.5,85
pickup_drop,02,1,0.75,88
pickup_drop,02,2,0.25,79
pickup_drop,02,2,0.5,90
pickup_drop,02,2,0.75,94
pickup_drop,02,4,0.25,90
pickup_drop,02,4,0.5,106
pickup_drop,02,4,0.75,95
pickup_drop,02,8,0.25,94
pickup_drop,02,8,0.5,95
pickup_drop,02,8,0.75,91
pickup_drop,03,1,0.25,85
pickup_drop,03,1,0.5,82
pickup_drop,03,1,0.75,80
pickup_drop,03,2,0.25,77
pickup_drop,03,2,0.5,82
pickup_drop,03,2,0.75,74
pickup_drop,03,4,0.25,81
pickup_drop,03,4,0.5,86
pickup_drop,03,4,0.75,77
pickup_drop,03,8,0.25,95
pickup_drop,03,8,0.5,99
pickup_drop,03,8,0.75,104
pickup_drop,04,1,0.25,148
pickup_drop,04,1,0.5,140
pickup_drop,04,1,0.75,81
pickup_drop,04,2,0.25,90
pickup_drop,04,2,0.5,98
pickup_drop,04,2,0.75,97
pickup_drop,04,4,0.25,92
pickup_drop,04,4,0.5,101
pickup_drop,04,4,0.75,92
pickup_drop,04,8,0.25,84
pickup_drop,04,8,0.5,102
pickup_drop,04,8,0.75,108
pickup_drop,05,1,0.25,79
pickup_drop,05,1,0.5,107
pickup_drop,05,1,0.75,86
pickup_drop,05,2,0.25,80
pickup_drop,05,2,0.5,90
pickup_drop,05,2,0.75,96
pickup_drop,05,4,0.25,88
pickup_drop,05,4,0.5,91
pickup_drop,05,4,0.75,95
pickup_drop,05,8,0.25,95
pickup_drop,05,8,0.5,145
pickup_drop,05,8,0.75,110
pickup_drop,06,1,0.25,103
pickup_drop,06,1,0.5,87
pickup_drop,06,1,0.75,88
pickup_drop,06,2,0.25,91
pickup_drop,06,2,0.5,100
pickup_drop,06,2,0.75,110
pickup_drop,06,4,0.25,93
pickup_drop,06,4,0.5,153
pickup_drop,06,4,0.75,97
pickup_drop,06,8,0.25,134
pickup_drop,06,8,0.5,110
pickup_drop,06,8,0.75,112
pickup_drop,07,1,0.25,103
pickup_drop,07,1,0.5,80
pickup_drop,07,1,0.75,77
pickup_drop,07,2,0.25,323
pickup_drop,07,2,0.5,84
pickup_drop,07,2,0.75,90
pickup_drop,07,4,0.25,191
pickup_drop,07,4,0.5,98
pickup_drop,07,4,0.75,93
pickup_drop,07,8,0.25,105
pickup_drop,07,8,0.5,101
pickup_drop,07,8,0.75,104
pickup_drop,08,1,0.25,73
pickup_drop,08,1,0.5,96
pickup_drop,08,1,0.75,78
pickup_drop,08,2,0.25,75
pickup_drop,08,2,0.5,86
pickup_drop,08,2,0.75,78
pickup_drop,08,4,0.25,83
pickup_drop,08,4,0.5,81
pickup_drop,08,4,0.75,117
pickup_drop,08,8,0.25,115
pickup_drop,08,8,0.5,126
pickup_drop,08,8,0.75,117
pickup_drop,09,1,0.25,82
pickup_drop,09,1,0.5,82
pickup_drop,09,1,0.75,99
pickup_drop,09,2,0.25,82
pickup_drop,09,2,0.5,134
pickup_drop,09,2,0.75,98
pickup_drop,09,4,0.25,104
pickup_drop,09,4,0.5,123
pickup_drop,09,4,0.75,117
pickup_drop,09,8,0.25,112
pickup_drop,09,8,0.5,130
pickup_drop,09,8,0.75,117
pickup_drop,10,1,0.25,88
pickup_drop,10,1,0.5,85
pickup_drop,10,1,0.75,140
pickup_drop,10,2,0.25,117
pickup_drop,10,2,0.5,125
pickup_drop,10,2,0.75,132
pickup_drop,10,4,0.25,125
pickup_drop,10,4,0.5,134
pickup_drop,10,4,0.75,245
pickup_drop,10,8,0.25,99
pickup_drop,10,8,0.5,131
pickup_drop,10,8,0.75,178
pickup_drop,11,1,0.25,99
pickup_drop,11,1,0.5,79
pickup_drop,11,1,0.75,77
pickup_drop,11,2,0.25,82
pickup_drop,11,2,0.5,89
pickup_drop,11,2,0.75,83
pickup_drop,11,4,0.25,81
pickup_drop,11,4,0.5,89
pickup_drop,11,4,0.75,86
pickup_drop,11,8,0.25,84
pickup_drop,11,8,0.5,98
pickup_drop,11,8,0.75,182
pickup_drop,12,1,0.25,193
pickup_drop,12,1,0.5,108
pickup_drop,12,1,0.75,78
pickup_drop,12,2,0.25,96
pickup_drop,12,2,0.5,94
pickup_drop,12,2,0.75,79
pickup_drop,12,4,0.25,81
pickup_drop,12,4,0.5,89
pickup_drop,12,4,0.75,89
pickup_drop,12,8,0.25,96
pickup_drop,12,8,0.5,101
pickup_drop,12,8,0.75,461
nightlife,01,1,0.25,106
nightlife,01,1,0.5,96
nightlife,01,1,0.75,94
nightlife,01,2,0.25,90
nightlife,01,2,0.5,92
nightlife,01,2,0.75,94
nightlife,01,4,0.25,102
nightlife,01,4,0.5,101
nightlife,01,4,0.75,126
nightlife,01,8,0.25,203
nightlife,01,8,0.5,119
nightlife,01,8,0.75,142
nightlife,02,1,0.25,119
nightlife,02,1,0.5,107
nightlife,02,1,0.75,173
nightlife,02,2,0.25,90
nightlife,02,2,0.5,104
nightlife,02,2,0.75,97
nightlife,02,4,0.25,110
nightlife,02,4,0.5,99
nightlife,02,4,0.75,98
nightlife,02,8,0.25,105
nightlife,02,8,0.5,109
nightlife,02,8,0.75,116
nightlife,03,1,0.25,80
nightlife,03,1,0.5,88
nightlife,03,1,0.75,93
nightlife,03,2,0.25,92
nightlife,03,2,0.5,101
nightlife,03,2,0.75,107
nightlife,03,4,0.25,108
nightlife,03,4,0.5,125
nightlife,03,4,0.75,139
nightlife,03,8,0.25,106
nightlife,03,8,0.5,121
nightlife,03,8,0.75,126
nightlife,04,1,0.25,95
nightlife,04,1,0.5,106
nightlife,04,1,0.75,101
nightlife,04,2,0.25,101
nightlife,04,2,0.5,113
nightlife,04,2,0.75,104
nightlife,04,4,0.25,107
nightlife,04,4,0.5,106
nightlife,04,4,0.75,107
nightlife,04,8,0.25,114
nightlife,04,8,0.5,117
nightlife,04,8,0.75,118
nightlife,05,1,0.25,90
nightlife,05,1,0.5,96
nightlife,05,1,0.75,105
nightlife,05,2,0.25,114
nightlife,05,2,0.5,101
nightlife,05,2,0.75,97
nightlife,05,4,0.25,104
nightlife,05,4,0.5,98
nightlife,05,4,0.75,96
nightlife,05,8,0.25,111
nightlife,05,8,0.5,122
nightlife,05,8,0.75,116
nightlife,06,1,0.25,90
nightlife,06,1,0.5,95
nightlife,06,1,0.75,96
nightlife,06,2,0.25,86
nightlife,06,2,0.5,90
nightlife,06,2,0.75,92
nightlife,06,4,0.25,92
nightlife,06,4,0.5,97
nightlife,06,4,0.75,94
nightlife,06,8,0.25,102
nightlife,06,8,0.5,105
nightlife,06,8,0.75,114
nightlife,07,1,0.25,81
nightlife,07,1,0.5,90
nightlife,07,1,0.75,93
nightlife,07,2,0.25,84
nightlife,07,2,0.5,101
nightlife,07,2,0.75,245
nightlife,07,4,0.25,105
nightlife,07,4,0.5,105
nightlife,07,4,0.75,238
nightlife,07,8,0.25,303
nightlife,07,8,0.5,117
nightlife,07,8,0.75,120
nightlife,08,1,0.25,94
nightlife,08,1,0.5,137
nightlife,08,1,0.75,98
nightlife,08,2,0.25,87
nightlife,08,2,0.5,92
nightlife,08,2,0.75,99
nightlife,08,4,0.25,96
nightlife,08,4,0.5,97
nightlife,08,4,0.75,98
nightlife,08,8,0.25,109
nightlife,08,8,0.5,115
nightlife,08,8,0.75,118
nightlife,09,1,0.25,94
nightlife,09,1,0.5,89
nightlife,09,1,0.75,88
nightlife,09,2,0.25,96
nightlife,09,2,0.5,97
nightlife,09,2,0.75,103
nightlife,09,4,0.25,97
nightlife,09,4,0.5,102
nightlife,09,4,0.75,110
nightlife,09,8,0.25,118
nightlife,09,8,0.5,117
nightlife,09,8,0.75,117
nightlife,10,1,0.25,100
nightlife,10,1,0.5,92
nightlife,10,1,0.75,119
nightlife,10,2,0.25,119
nightlife,10,2,0.5,106
nightlife,10,2,0.75,102
nightlife,10,4,0.25,121
nightlife,10,4,0.5,110
nightlife,10,4,0.75,113
nightlife,10,8,0.25,101
nightlife,10,8,0.5,113
nightlife,10,8,0.75,120
nightlife,11,1,0.25,86
nightlife,11,1,0.5,102
nightlife,11,1,0.75,92
nightlife,11,2,0.25,86
nightlife,11,2,0.5,101
nightlife,11,2,0.75,97
nightlife,11,4,0.25,98
nightlife,11,4,0.5,97
nightlife,11,4,0.75,101
nightlife,11,8,0.25,110
nightlife,11,8,0.5,124
nightlife,11,8,0.75,108
nightlife,12,1,0.25,92
nightlife,12,1,0.5,81
nightlife,12,1,0.75,94
nightlife,12,2,0.25,90
nightlife,12,2,0.5,115
nightlife,12,2,0.75,87
nightlife,12,4,0.25,97
nightlife,12,4,0.5,100
nightlife,12,4,0.75,100
nightlife,12,8,0.25,107
nightlife,12,8,0.5,122
nightlife,12,8,0.75,119
